symbol,log2FoldChange,padj,baseMean,tissue_type,cancer_type
AKAP1,1.185,0.007626,2108.39,tumor,breast_her2
DROSHA,1.279,0.004217,1220.53,tumor,breast_her2
P2RY12,1.669,0.000764,2232.59,tumor,breast_her2
RPS6KA6,1.64,0.000179,4247.64,tumor,breast_her2
VKORC1,1.414,0.003987,3980.46,tumor,breast_her2
UGDH,1.639,0.000768,3715.39,tumor,breast_her2
ICAM1,0.629,0.046427,1684.59,tumor,breast_her2
PPAT,1.504,0.000121,188.92,tumor,breast_her2
CYSLTR1,1.663,0.000301,1348.31,tumor,breast_her2
TGFBR1,0.328,0.091731,2613.82,tumor,breast_her2
UGT1A5,1.719,0.000285,2070.16,tumor,breast_her2
TXN,1.53,0.000479,372.4,tumor,breast_her2
FOXP3,1.607,0.000187,790.89,tumor,breast_her2
CAD,1.685,0.000399,4718.45,tumor,breast_her2
VAMP3,1.587,0.00065,1195.45,tumor,breast_her2
IGSF10,1.344,0.006057,430.45,tumor,breast_her2
FBXL17,1.766,0.000101,345.97,tumor,breast_her2
GRM7,1.577,0.000562,814.25,tumor,breast_her2
TRPM3,0.627,0.061789,668.96,tumor,breast_her2
LCAT,1.484,0.003557,2285.9,tumor,breast_her2
SLC12A8,0.281,0.081175,3946.67,tumor,breast_her2
SLC9A3P1,1.467,0.007936,4558.94,tumor,breast_her2
NME1,1.709,0.000419,4340.87,tumor,breast_her2
P2RY1,1.716,0.000456,4605.62,tumor,breast_her2
SAA1,1.521,0.000304,2146.49,tumor,breast_her2
ADAM17,1.132,0.001405,585.34,tumor,breast_her2
CHRNB1,1.584,0.000156,1229.42,tumor,breast_her2
OXCT2,1.471,0.006668,3939.77,tumor,breast_her2
VDAC2,0.855,0.083122,4615.72,tumor,breast_her2
RBP3,1.48,0.008089,3027.74,tumor,breast_her2
SPTLC3,1.163,0.007284,3327.41,tumor,breast_her2
